image_path	manuscript_figure_name	panel_id	inspection_scope	no_title_caption_header	clipping	spacing_layout	readability	panel_order_labels	density_or_caveats	status	notes
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/F1.png	Figure 1	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/F2.png	Figure 2	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/F3.png	Figure 3	NA	integration_final	pass	pass	pass	pass	pass	Panel a is the explicitly approved raster-input exception.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/F4.png	Figure 4	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/F5.png	Figure 5	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S1.png	Figure S1	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S2.png	Figure S2	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S3.png	Figure S3	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S4.png	Figure S4	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S5.png	Figure S5	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S6.png	Figure S6	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S7.png	Figure S7	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S8.png	Figure S8	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S9.png	Figure S9	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S10.png	Figure S10	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S11.png	Figure S11	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S12.png	Figure S12	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented; this figure supersedes the earlier selection-strategy polishing package.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S13.png	Figure S13	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S14.png	Figure S14	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S15.png	Figure S15	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S16.png	Figure S16	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S17.png	Figure S17	NA	integration_final	pass	pass	pass	pass	pass	Accepted as presented.	pass	User visually accepted the polishing output; the integration final is byte-identical to that reviewed image.
agent-dev/manuscript_integration/20260729_v03_figure_set_integration/final_images/S18.png	Figure S18	NA	integration_final	pass	pass	pass	pass	pass	Accepted after SUM-159 package rebuild was corrected to eliminate illegal raster copying.	pass	User visually accepted the locally regenerated polishing output; the integration final is byte-identical to that reviewed image.
